_element_key,_element_name,_element_type,_list_child_element_keys
COMSUP,COMSUP,string,[]
DACOMSUP,DACOMSUP,string,[]
DAPAMA,DAPAMA,string,[]
DATEX,DATEX,string,[]
DATEX_N,DATEX_N,integer,[]
DNASC,DNASC,string,[]
ERROR,ERROR,integer,[]
E_COMSUP,E_COMSUP,integer,[]
E_PARMAM,E_PARMAM,integer,[]
IDCOMSUP,IDCOMSUP,integer,[]
IDPAMA,IDPAMA,integer,[]
MOR,MOR,integer,[]
MUL,MUL,integer,[]
NOC,NOC,integer,[]
NOMECRI,NOMECRI,string,[]
NOMEMAE,NOMEMAE,string,[]
PARMAM,PARMAM,string,[]
REG,REG,integer,[]
REGDIA,REGDIA,string,[]
REGIDC,REGIDC,integer,[]
TAB,TAB,integer,[]
